Row;Title;Country;Saga;Genre;Animation;Hours Viewed;Views;Image URL V;Image URL H;Image URL Saga
183;Karate Kid: Legends;USA;Karate Kid: Legends;Action/Drama;No;34600000;22100000;;;
184;Murder Mystery;USA;Murder Mystery;Action/Comedy;No;36200000;22100000;;;
187;Norbit;USA;Norbit;Comedy;No;37700000;22000000;;;
188;One of Them Days;USA;One of Them Days;Comedy;No;35700000;22000000;;;
186;The Fast and the Furious;USA;The Fast and the Furious;Action;No;38900000;22000000;;;
185;The Twits;UK/USA;The Twits;Comedy;Yes;37800000;22000000;;;
191;A Madea Homecoming;USA;A Madea Homecoming;Comedy;No;38600000;21700000;;;
190;Matilda (1996);USA;Matilda;Family/Comedy;No;35400000;21700000;;;
189;Rise of the Guardians;USA;Rise of the Guardians;Adventure;Yes;36200000;21700000;;;
194;Beverly Hills Cop: Axel F;USA;Beverly Hills Cop: Axel F;Action Comedy;No;42600000;21600000;;;
193;Masha and the Bear: The Legend of the 12 Months;Russia;Masha and the Bear;Family;Yes;8300000;21600000;;;
192;Rampage (2018);USA;Rampage;Action/Sci-Fi;No;38600000;21600000;;;
196;Gladiator II;USA;Gladiator II;Historical Action/Drama;No;53000000;21500000;;;
197;Mowgli: Legend of the Jungle;UK/USA;Mowgli: Legend of the Jungle;Adventure/Drama;No;37600000;21500000;;;
195;YES DAY;USA;YES DAY;Comedy/Family;No;32200000;21500000;;;
199;Interstellar;UK/USA;Interstellar;Sci-Fi/Drama;No;60300000;21400000;;;
198;Mango;USA;Mango;Drama;No;34300000;21400000;;;
200;Kung Fu Panda 4;USA;Kung Fu Panda;Action;Yes;33200000;21200000;;;
