Title;Hours Viewed;Views
Trainwreck: Balloon Boy;11800000;13400000
Kung Fu Panda 3;21200000;13400000
Hustle;26400000;13400000
Trainwreck: The Cult of American Apparel;12100000;13400000
American Murder: The Family Next Door;18800000;13400000
Ready Player One;31200000;13400000
About My Father;20000000;13300000
Trainwreck: Mayor of Mayhem;11100000;13300000
A Perfect Pairing;22900000;13300000
Ice Road: Vengeance;25100000;13300000
Faster (2010);21800000;13300000
You Are So Not Invited to My Bat Mitzvah;23100000;13300000
Army of Thieves;28600000;13200000
Untold: The Fall of Favre;14100000;13200000
A Normal Woman;24400000;13200000
Paddington in Peru;23300000;13200000
The Dark Knight (2008);33600000;13200000
The Holiday (2006);29700000;13100000
The Great Wall (2016);22400000;13100000
Project Power;24800000;13100000
The Harder They Fall;30300000;13100000
The Willoughbys;20200000;13000000
Kandahar (2023);25900000;13000000
The Wrong Missy;19400000;13000000
The Punisher (2004);26600000;13000000
The Longest Yard (2005);24800000;13000000
A Time For Bravery // La hora de los valientes;23100000;13000000
Outside the Wire;24900000;12900000
The Killer;25600000;12900000
The Irishman;44900000;12900000
Madame Web;24800000;12800000
Horizon: An American Saga: Chapter 1;38700000;12800000
Through My Window // A través de mi ventana;24400000;12800000
Don't Look Up;30600000;12800000
Inglourious Basterds;32700000;12800000
The Tearsmith // Fabbricante di lacrime;22500000;12800000
Luther: The Fallen Sun;28000000;12800000
Little Man (2006);20700000;12700000
Heart of Stone;26400000;12700000
Sikandar // सिकंदर;28500000;12700000
Dolittle;21600000;12700000
Jolly LLB 3 // जॉली एलएलबी 3;33100000;12700000
Seventh Son;21500000;12600000
The Do-Over;22900000;12600000
Rush Hour 3;19100000;12600000
Escape Room (2019);21000000;12600000
Falling for Christmas;19900000;12500000
Miracles from Heaven;22700000;12500000
Alvin and the Chipmunks;18900000;12500000
Army of the Dead;30800000;12500000
Dog Gone Trouble;18400000;12500000
The Valet (2022);25600000;12500000
The Pope's Exorcist;21800000;12500000
Orion and the Dark;19400000;12500000
65;19400000;12500000
Spirited Away // 千と千尋の神隠し;26100000;12500000
Harry Potter and the Prisoner of Azkaban;29700000;12500000
The Guilty;18700000;12400000
Blood Red Sky;25400000;12400000
Fatherhood;22900000;12400000
To All The Boys: Always And Forever;23700000;12300000
Trainwreck: The Real Project X;9800000;12300000
Chasing the Wind // Rüzgara Bırak;19500000;12200000
Inside Man (2006);26200000;12200000
A Time to Kill (1996);30600000;12200000
Ferdinand;22300000;12200000
The Lost Children // Los niños perdidos;19700000;12200000
How It Ends;22700000;12100000
Secret Magic Control Agency;21100000;12100000
A Simple Favor;23600000;12100000
Cast Away (2000);29100000;12100000
Flightplan;19900000;12100000
Meet Joe Black;36100000;12100000
Justice // Napad;23200000;12100000
Sniper: Ghost Shooter;19800000;12000000
Chaos: The Manson Murders;19500000;12000000
Idli Kadai;29000000;12000000
The Truman Show;20600000;12000000
Chhaava // छावा;31300000;11900000
Spirit: Stallion of the Cimarron;16600000;11900000
The Man from Toronto;22300000;11900000
Enola Holmes;24700000;11900000
Scary Movie (2000);17400000;11900000
The Mummy (2017);21900000;11900000
Transformers (2007);28500000;11900000
Avicii - I'm Tim;19100000;11800000
The SpongeBob SquarePants Movie;17500000;11800000
Transformers: Age of Extinction;32900000;11800000
Daddy Day Care;18200000;11800000
Abominable (2019);19100000;11800000
Storks;17100000;11800000
Octonauts & the Ring of Fire;14400000;11800000
The Amazing Spider-Man (2012);26500000;11700000
Court: State vs A Nobody;29000000;11700000
Pokémon: Mewtwo Strikes Back - Evolution // ミュウツーの逆襲 EVOLUTION;19200000;11700000
Texas Chainsaw Massacre;16100000;11700000
Venom (2018);21800000;11700000
Let Go // Släpp taget;21400000;11700000
He's All That;17700000;11600000
The Road to El Dorado;17500000;11600000
The Core;26100000;11600000
2 Hearts;19500000;11600000
The Menu (2022);20600000;11600000
Captain Underpants: The First Epic Movie;17100000;11600000
Reptile;26300000;11600000
Aap Jaisa Koi // आप जैसा कोई;22200000;11600000
The Princess Switch;19700000;11600000
The Kissing Booth 2;25900000;11600000
